Category,Skill code,Skill name
Addition,C-D.11,Addition facts - sums up to 20
Addition,C-D.12,Make a number using addition - sums up to 20
Addition,C-D.13,Addition sentences for word problems - sums up to 20
Addition,C-D.14,Related addition facts
Addition,C-D.15,Addition sentences: true or false?
Addition,C-D.16,Add a one-digit number to a two-digit number - without regrouping
Addition,C-D.17,Regroup tens and ones - ways to make a number
Addition,C-D.18,Regroup tens and ones
Addition,C-D.19,Add a one-digit number to a two-digit number - with regrouping
Addition strategies,C-E.1,Add doubles - with models
Addition strategies,C-E.2,Add doubles
Addition strategies,C-E.3,Add doubles - complete the sentence
Addition strategies,C-E.4,Add using doubles plus one
Addition strategies,C-E.5,Add using doubles minus one
Addition strategies,C-E.6,Add three numbers - use doubles
Addition strategies,C-E.7,Complete the addition sentence - make ten
Addition strategies,C-E.8,Add three numbers - make ten
Addition strategies,C-E.9,Add two multiples of ten
Addition strategies,C-E.10,Add a multiple of ten
Addition strategies,C-E.11,Add three numbers
Addition strategies,C-E.12,Add three numbers - word problems
Understand subtraction ,C-F.1,Subtract with pictures - numbers up to 10
Understand subtraction ,C-F.2,Subtraction sentences - numbers up to 10
Understand subtraction ,C-F.3,Subtraction sentences using number lines - numbers up to 10
Understand subtraction ,C-F.4,Subtract zero and all
Subtraction skill builders,C-G.1,Subtracting 1
Subtraction skill builders,C-G.2,Subtracting 2
Subtraction skill builders,C-G.3,Subtracting 3
Subtraction skill builders,C-G.4,Subtracting 4
Subtraction skill builders,C-G.5,Subtracting 5
Subtraction skill builders,C-G.6,Subtracting 6
Subtraction skill builders,C-G.7,Subtracting 7
Subtraction skill builders,C-G.8,Subtracting 8
Subtraction skill builders,C-G.9,Subtracting 9
Subtraction skill builders,C-G.10,Subtracting 0
Subtraction,C-H.1,Subtraction facts - numbers up to 10
Subtraction,C-H.2,Make a number using subtraction - numbers up to 10
Subtraction,C-H.3,Ways to make a number - subtraction sentences
Subtraction,C-H.4,Ways to subtract from a number - subtraction sentences
Subtraction,C-H.5,Complete the subtraction sentence
Subtraction,C-H.6,Subtraction word problems - numbers up to 10
Subtraction,C-H.7,Subtraction sentences for word problems - numbers up to 10
Subtraction,C-H.8,Subtraction sentences using number lines - numbers up to 18
Subtraction,C-H.9,Subtraction facts - numbers up to 18
Subtraction,C-H.10,Subtraction word problems - numbers up to 18
Subtraction,C-H.11,Subtraction sentences for word problems - numbers up to 18
Subtraction,C-H.12,Make a number using subtraction - numbers up to 20
Subtraction,C-H.13,Related subtraction facts
Subtraction,C-H.14,Subtraction sentences: true or false?
Subtraction,C-H.15,Subtract one-digit numbers from two-digit numbers
Subtraction strategies,C-I.1,Relate addition and subtraction sentences
Subtraction strategies,C-I.2,Subtract doubles
Subtraction strategies,C-I.3,Subtract multiples of 10
Subtraction strategies,C-I.4,Subtract a multiple of 10
Mixed operations,C-J.1,Addition and subtraction - ways to make a number
Mixed operations,C-J.2,Which sign makes the number sentence true?
Mixed operations,C-J.3,Fact families
Mixed operations,C-J.4,Addition and subtraction facts - numbers up to 10
Mixed operations,C-J.5,Addition and subtraction facts - numbers up to 18
Mixed operations,C-J.6,Addition and subtraction word problems
Mixed operations,C-J.7,Addition and subtraction sentences: true or false?
Mixed operations,C-J.8,Ten more or less
Mixed operations,C-J.9,Add and subtract tens
Mixed operations,C-J.10,Addition and subtraction terms
Comparing,C-K.1,Comparing - review
Comparing,C-K.2,Comparing numbers up to 10
Comparing,C-K.3,Comparing numbers up to 100
Comparing,C-K.4,Comparison word problems
Estimation,C-L.1,Estimate to the nearest ten
Place values,C-M.1,Place value models up to 20
Place values,C-M.2,Write numbers as tens and ones up to 20
Place values,C-M.3,Place value models up to 100
Place values,C-M.4,Convert between tens and ones
Place values,C-M.5,Write numbers as tens and ones
Spatial sense,C-N.1,"Left, middle, and right"
Spatial sense,C-N.2,"Top, middle, and bottom"
Spatial sense,C-N.3,Location in a grid
Spatial sense,C-N.4,Above and below
Spatial sense,C-N.5,Beside and next to
Data and graphs,C-O.1,"Record data with tally charts, picture graphs, tables"
Data and graphs,C-O.2,"Interpret data in tally charts, picture graphs, tables"
Data and graphs,C-O.3,Interpret bar graphs
Data and graphs,C-O.4,Which bar graph is correct?
Measurement,C-P.1,Read a thermometer
Measurement,C-P.2,Compare objects: length and height
Measurement,C-P.3,Measure using objects
Measurement,C-P.4,Measure using an inch ruler
Measurement,C-P.5,Which customary unit of length is appropriate?
Measurement,C-P.6,Customary units of length: word problems
Measurement,C-P.7,Which customary unit of weight is appropriate?
Measurement,C-P.8,"Compare and convert cups, pints, and quarts"
Measurement,C-P.9,Which metric unit of length is appropriate?
Measurement,C-P.10,Metric units of length: word problems
Measurement,C-P.11,Measure using a centimeter ruler
Measurement,C-P.12,Which metric unit of weight is appropriate?
Money,C-Q.1,Names and values of common coins
Money,C-Q.2,Names and values of all coins
Money,C-Q.3,"Count pennies, nickels, and dimes"
Money,C-Q.4,"Count pennies, nickels, dimes, and quarters"
Money,C-Q.5,Equivalent groups of coins
Money,C-Q.6,Exchanging coins
Money,C-Q.7,Money - word problems
Money,C-Q.8,Purchases: do you have enough money?
Money,C-Q.9,Compare money amounts
Money,C-Q.10,Least number of coins
Patterns,C-R.1,Introduction to patterns
Patterns,C-R.2,Find the next shape in a pattern
Patterns,C-R.3,Complete a pattern
Patterns,C-R.4,Make a pattern
Patterns,C-R.5,Growing patterns
Patterns,C-R.6,Find the next shape in a growing pattern
Patterns,C-R.7,Find the next row in a growing pattern
Probability and statistics,C-S.1,"More, less, and equally likely"
Probability and statistics,C-S.2,"Certain, probable, unlikely, and impossible"
Probability and statistics,C-S.3,Mode and range
"Sorting, ordering, and classifying",C-T.1,Count shapes in a Venn diagram
"Sorting, ordering, and classifying",C-T.2,Sort shapes into a Venn diagram
"Sorting, ordering, and classifying",C-T.3,Put numbers in order
Time,C-U.1,Match digital clocks and times
Time,C-U.2,Match analog clocks and times
Time,C-U.3,Match analog and digital clocks
Time,C-U.4,Read clocks and write times
Time,C-U.5,A.M. or P.M.
Time,C-U.6,Times of everyday events
Time,C-U.7,Compare clocks
Time,C-U.8,Time and clocks: word problems
Time,C-U.9,Days of the week
Time,C-U.10,Seasons of the year
Time,C-U.11,Months of the year
Time,C-U.12,Read a calendar
Two-dimensional shapes,C-V.1,Identify 2-dimensional shapes
Two-dimensional shapes,C-V.2,Count sides and vertices
Two-dimensional shapes,C-V.3,Compare sides and vertices
Two-dimensional shapes,C-V.4,Open and closed shapes
Two-dimensional shapes,C-V.5,"Flip, turn, and slide"
Two-dimensional shapes,C-V.6,Same shape
Two-dimensional shapes,C-V.7,Symmetry
Three-dimensional shapes,C-W.1,Identify 3-dimensional figures
Three-dimensional shapes,C-W.2,"Count edges, vertices, and faces"
Three-dimensional shapes,C-W.3,"Compare edges, vertices, and faces"
Three-dimensional shapes,C-W.4,Relate planar and solid figures
Three-dimensional shapes,C-W.5,Shapes of everyday objects I
Three-dimensional shapes,C-W.6,Shapes of everyday objects II
Fractions,C-X.1,Equal parts
Fractions,C-X.2,"Halves, thirds, and fourths"
Fractions,C-X.3,Simple fractions: what fraction does the shape show?
Fractions,C-X.4,Simple fractions: which shape matches the fraction?
Fractions,C-X.5,Simple fractions: parts of a group
Fractions,C-X.6,Fractions - word problems
Fractions,C-X.7,Compare fractions
Fractions,C-X.8,Fraction models equivalent to whole numbers
Fractions,C-X.9,Fractions equivalent to whole numbers
Counting and number patterns,D-A.1,Skip-counting
Counting and number patterns,D-A.2,Skip-counting stories
Counting and number patterns,D-A.3,Skip-counting sequences
Counting and number patterns,D-A.4,Counting patterns - up to 100
Counting and number patterns,D-A.5,Skip-counting puzzles
Counting and number patterns,D-A.6,Number lines - up to 100
Counting and number patterns,D-A.7,Hundreds chart
Counting and number patterns,D-A.8,"Number lines - up to 1,000"
Counting and number patterns,D-A.9,Even or odd
Counting and number patterns,D-A.10,Even or odd numbers on number lines
Counting and number patterns,D-A.11,Identify numbers as even or odd
Counting and number patterns,D-A.12,Select even or odd numbers
Counting and number patterns,D-A.13,Which even or odd number comes before or after?
Counting and number patterns,D-A.14,"Counting patterns - up to 1,000"
Comparing and ordering,D-B.1,Comparing numbers up to 100
Comparing and ordering,D-B.2,"Comparing numbers up to 1,000"
Comparing and ordering,D-B.3,Put numbers up to 100 in order
Comparing and ordering,D-B.4,"Put numbers up to 1,000 in order"
Comparing and ordering,D-B.5,Greatest and least - word problems - up to 100
Comparing and ordering,D-B.6,"Greatest and least - word problems - up to 1,000"
Names of numbers,D-C.1,Ordinal numbers up to 10th
Names of numbers,D-C.2,Writing numbers up to 100 in words
Names of numbers,D-C.3,Ordinal numbers up to 100th
Names of numbers,D-C.4,"Writing numbers up to 1,000 in words"
Names of numbers,D-C.5,Distinguishing ordinal and cardinal numbers
Names of numbers,D-C.6,"Roman numerals I, V, X, L"
Patterns,D-D.1,Repeating patterns
Patterns,D-D.2,Growing patterns
Patterns,D-D.3,Find the next shape in a pattern
Patterns,D-D.4,Complete a repeating pattern
Patterns,D-D.5,Make a repeating pattern
Patterns,D-D.6,Find the next row in a growing pattern
Addition - one digit,D-E.1,Review - add one-digit numbers - sums to 10
Addition - one digit,D-E.2,Review - ways to make a number - sums to 10
Addition - one digit,D-E.3,Review - writing addition sentences - sums to 10
Addition - one digit,D-E.4,Addition with pictures - sums to 20
Addition - one digit,D-E.5,Write addition sentences to describe pictures - sums to 20
Addition - one digit,D-E.6,Add one-digit numbers
Addition - one digit,D-E.7,Addition input/output tables - sums to 20
Addition - one digit,D-E.8,Add zero
Addition - one digit,D-E.9,Add doubles using models
Addition - one digit,D-E.10,Add doubles
Addition - one digit,D-E.11,Add doubles - complete the sentence
Addition - one digit,D-E.12,Addition word problems - one digit
Addition - one digit,D-E.13,Complete the addition sentence - one digit
Addition - one digit,D-E.14,Write the addition sentence - one digit
Addition - one digit,D-E.15,Balance addition equations - one digit
Addition - one digit,D-E.16,Addition equations: true or false?
Addition - one digit,D-E.17,Add three one-digit numbers
Addition - one digit,D-E.18,Add three one-digit numbers: word problems
Addition - one digit,D-E.19,Add four or more one-digit numbers
Addition - one digit,D-E.20,Add four or more one-digit numbers: word problems
Addition - one digit,D-E.21,Identify repeated addition in arrays: sums to 10
Addition - one digit,D-E.22,Write addition sentences for arrays: sums to 10
Addition - one digit,D-E.23,Identify repeated addition in arrays: sums to 25
Addition - one digit,D-E.24,Write addition sentences for arrays: sums to 25
Subtraction - one digit,D-F.1,Review - subtract one-digit numbers - up to 10
Subtraction - one digit,D-F.2,Review - ways to subtract - up to 10
Subtraction - one digit,D-F.3,Review - writing subtraction sentences - up to 10
Subtraction - one digit,D-F.4,Subtract doubles
Subtraction - one digit,D-F.5,Subtraction with pictures
Subtraction - one digit,D-F.6,Write subtraction sentences to describe pictures - up to 18
Subtraction - one digit,D-F.7,Subtract a one-digit number from a two-digit number up to 18
Subtraction - one digit,D-F.8,Subtraction input/output tables - up to 18
Subtraction - one digit,D-F.9,Subtract zero/all
Subtraction - one digit,D-F.10,Subtraction word problems - up to 18
Subtraction - one digit,D-F.11,Complete the subtraction sentence - up to 18
Subtraction - one digit,D-F.12,Write the subtraction sentence - up to 18
Subtraction - one digit,D-F.13,Balance subtraction equations - up to 18
Subtraction - one digit,D-F.14,Subtraction equations: true or false?
Addition - two digits,D-G.1,Add multiples of 10
Addition - two digits,D-G.2,Write addition sentences to describe pictures
Addition - two digits,D-G.3,Add a two-digit and a one-digit number - without regrouping
Addition - two digits,D-G.4,Add a two-digit and a one-digit number - with regrouping
Addition - two digits,D-G.5,Add two two-digit numbers - without regrouping
Addition - two digits,D-G.6,Add two two-digit numbers - with regrouping
Addition - two digits,D-G.7,Addition input/output tables - up to two digits
Addition - two digits,D-G.8,Ways to make a number using addition
Addition - two digits,D-G.9,Addition word problems - up to two digits
Addition - two digits,D-G.10,Complete the addition sentence - up to two digits
Addition - two digits,D-G.11,Write the addition sentence - up to two digits
Addition - two digits,D-G.12,Balance addition equations - up to two digits
Addition - two digits,D-G.13,Add three numbers up to two digits each
Addition - two digits,D-G.14,Add three numbers up to two digits each: word problems
Addition - two digits,D-G.15,Add four or more numbers up to two digits each
Addition - two digits,D-G.16,Add four or more numbers up to two digits each: word problems
Subtraction - two digits,D-H.1,Subtract multiples of 10
Subtraction - two digits,D-H.2,Write subtraction sentences to describe pictures - up to two digits
Subtraction - two digits,D-H.3,Subtract a one-digit number from a two-digit number - without regrouping
Subtraction - two digits,D-H.4,Subtract a one-digit number from a two-digit number - with regrouping
Subtraction - two digits,D-H.5,Subtract two two-digit numbers - without regrouping
Subtraction - two digits,D-H.6,Subtract two two-digit numbers - with regrouping
Subtraction - two digits,D-H.7,Subtraction input/output tables - up to two digits
Subtraction - two digits,D-H.8,Ways to make a number using subtraction
Subtraction - two digits,D-H.9,Subtraction word problems - up to two digits
Subtraction - two digits,D-H.10,Complete the subtraction sentence - up to two digits
Subtraction - two digits,D-H.11,Write the subtraction sentence - up to two digits
Subtraction - two digits,D-H.12,Balance subtraction equations - up to two digits
Addition - three digits,D-I.1,Add multiples of 100
Addition - three digits,D-I.2,Addition with three-digit numbers
Addition - three digits,D-I.3,Addition input/output tables - up to three digits
Addition - three digits,D-I.4,Addition word problems - up to three digits
Addition - three digits,D-I.5,Complete the addition sentence - up to three digits
Addition - three digits,D-I.6,Write the addition sentence - up to three digits
Addition - three digits,D-I.7,Balance addition equations - up to three digits
Subtraction - three digits,D-J.1,Subtract multiples of 100
Subtraction - three digits,D-J.2,Subtract three-digit numbers
Subtraction - three digits,D-J.3,Subtraction input/output tables - up to three digits
Subtraction - three digits,D-J.4,Subtraction word problems - up to three digits
Subtraction - three digits,D-J.5,Complete the subtraction sentence - up to three digits
Subtraction - three digits,D-J.6,Write the subtraction sentence - up to three digits
Subtraction - three digits,D-J.7,Balance subtraction equations - up to three digits
Properties,D-K.1,Related addition facts
Properties,D-K.2,Related subtraction facts
Properties,D-K.3,Fact families
Properties,D-K.4,"Addition, subtraction, multiplication, and division terms"
Properties,D-K.5,Solve inequalities using addition and subtraction shortcuts
Mixed operations,D-L.1,Add and subtract numbers up to 20
Mixed operations,D-L.2,Addition and subtraction - ways to make a number - up to 20
Mixed operations,D-L.3,Addition and subtraction word problems - up to 20
Mixed operations,D-L.4,Addition and subtraction - balance equations - up to 20
Mixed operations,D-L.5,Addition and subtraction equations up to 20: true or false?
Mixed operations,D-L.6,Input/output tables - write the rule - up to 20
Mixed operations,D-L.7,Add and subtract numbers up to 100
Mixed operations,D-L.8,Addition and subtraction - ways to make a number - up to 100
Mixed operations,D-L.9,Addition and subtraction word problems - up to 100
Mixed operations,D-L.10,Addition and subtraction - balance equations - up to 100
Mixed operations,D-L.11,Input/output tables - write the rule - up to 100
Mixed operations,D-L.12,Which sign (+ or -) makes the number sentence true?
Mixed operations,D-L.13,Write addition and subtraction sentences
Mixed operations,D-L.14,Inequalities with addition and subtraction - up to 100
Place values,D-M.1,Place value models - tens and ones
Place values,D-M.2,Place value models - up to hundreds
Place values,D-M.3,Place value models - up to thousands
Place values,D-M.4,Identify a digit up to the hundreds place
Place values,D-M.5,Place value - tens and ones
Place values,D-M.6,Place value - up to hundreds
Place values,D-M.7,Place value - up to thousands
Place values,D-M.8,Convert to/from a number - tens and ones
Place values,D-M.9,Regroup tens and ones - ways to make a number
Place values,D-M.10,Regroup tens and ones
Place values,D-M.11,Convert to/from a number - up to hundreds
Place values,D-M.12,Convert to/from a number - up to thousands
Place values,D-M.13,Convert between place values - up to thousands
Place values,D-M.14,Convert from expanded form - up to hundreds
Place values,D-M.15,Convert from expanded form - up to thousands
Estimation and rounding,D-N.1,Estimate to the nearest ten
Estimation and rounding,D-N.2,Round to the nearest ten
Estimation and rounding,D-N.3,Round to the nearest ten or hundred
Estimation and rounding,D-N.4,"Round to the nearest ten, hundred, or thousand"
Estimation and rounding,D-N.5,Estimate sums
Logical reasoning,D-O.1,Guess the number
Money,D-P.1,Names and values of common coins
Money,D-P.2,Names and values of all coins
Money,D-P.3,"Count money - pennies, nickels, and dimes only"
Money,D-P.4,Count money - up to $1
Money,D-P.5,Count money - up to $5
Money,D-P.6,Equivalent amounts of money - up to $1
Money,D-P.7,Exchanging coins
Money,D-P.8,Comparing groups of coins
Money,D-P.9,Add money - up to $1
Money,D-P.10,Add money - up to $1: word problems
Money,D-P.11,Subtract money - up to $1
Money,D-P.12,Subtract money - up to $1: word problems
Money,D-P.13,Add and subtract money - up to $1
Money,D-P.14,Add and subtract money - up to $1: word problems
Money,D-P.15,Purchases - do you have enough money - up to $1
Money,D-P.16,Purchases - do you have enough money - up to $5
Money,D-P.17,Which picture shows more - up to $5
Money,D-P.18,Least number of coins
Money,D-P.19,How much more to make a dollar?
Money,D-P.20,Making change
Time,D-Q.1,Match digital clocks and times
Time,D-Q.2,Match analog clocks and times
Time,D-Q.3,Match analog and digital clocks
Time,D-Q.4,Read clocks and write times: hour and half hour
Time,D-Q.5,Read clocks and write times
Time,D-Q.6,"Time words:  o'clock, half, quarter"
Time,D-Q.7,A.M. or P.M.
Time,D-Q.8,Compare clocks
Time,D-Q.9,Elapsed time I
Time,D-Q.10,Elapsed time II
Time,D-Q.11,Time patterns
Time,D-Q.12,Seasons
Time,D-Q.13,Months of the year
Time,D-Q.14,Read a calendar
Time,D-Q.15,Days of the week
Time,D-Q.16,Number of days in each month
Time,D-Q.17,Relate time units
Data and graphs,D-R.1,Objects on a coordinate plane
Data and graphs,D-R.2,Interpret tally charts and tables
Data and graphs,D-R.3,Interpret bar graphs
Data and graphs,D-R.4,Which bar graph is correct?
Data and graphs,D-R.5,Create bar graphs
Data and graphs,D-R.6,Interpret line plots
Data and graphs,D-R.7,Create line plots
Data and graphs,D-R.8,Interpret pictographs
Data and graphs,D-R.9,Create pictographs
Data and graphs,D-R.10,Interpret line graphs
Data and graphs,D-R.11,Which line graph is correct?
Data and graphs,D-R.12,Count shapes in a Venn diagram
Data and graphs,D-R.13,Sort shapes into a Venn diagram
Data and graphs,D-R.14,Venn diagrams with three circles
Units of measurement,D-S.1,Read a thermometer
Units of measurement,D-S.2,Measure using an inch ruler
Units of measurement,D-S.3,Which customary unit of length is appropriate?
Units of measurement,D-S.4,Customary units of length: word problems
Units of measurement,D-S.5,Which customary unit of weight is appropriate?
Units of measurement,D-S.6,Which customary unit of volume is appropriate?
Units of measurement,D-S.7,Compare and convert customary units of volume
Units of measurement,D-S.8,Measure using a centimeter ruler
Units of measurement,D-S.9,Which metric unit of length is appropriate?
Units of measurement,D-S.10,Metric units of length: word problems
Units of measurement,D-S.11,Which metric unit of weight is appropriate?
Units of measurement,D-S.12,Which metric unit of volume is appropriate?
Units of measurement,D-S.13,Compare and convert metric units of volume
Units of measurement,D-S.14,Compare and convert metric units of weight
Units of measurement,D-S.15,Choose the appropriate measuring tool
Two-dimensional shapes,D-T.1,Identify 2-dimensional shapes
Two-dimensional shapes,D-T.2,Count sides and angles
Two-dimensional shapes,D-T.3,Compare sides and angles
Two-dimensional shapes,D-T.4,"Flip, turn, and slide"
Two-dimensional shapes,D-T.5,Identify congruent shapes
Two-dimensional shapes,D-T.6,Symmetry
Three-dimensional shapes,D-U.1,Identify 3-dimensional shapes
Three-dimensional shapes,D-U.2,Identify 2-dimensional and 3-dimensional shapes
Three-dimensional shapes,D-U.3,"Count edges, vertices, and faces"
Three-dimensional shapes,D-U.4,"Compare edges, vertices, and faces"
Three-dimensional shapes,D-U.5,Shapes of everyday objects I
Three-dimensional shapes,D-U.6,Shapes of everyday objects II
Geometric measurement,D-V.1,Perimeter
Geometric measurement,D-V.2,Perimeter - word problems
Geometric measurement,D-V.3,Find the area of figures made of unit squares
Geometric measurement,D-V.4,Create figures with a given area
Fractions,D-W.1,Equal parts
Fractions,D-W.2,"Halves, thirds, and fourths"
Fractions,D-W.3,Identify the fraction
Fractions,D-W.4,Which shape illustrates the fraction?
Fractions,D-W.5,Parts of a group
Fractions,D-W.6,Fraction word problems
Fractions,D-W.7,Compare fractions using models
Fractions,D-W.8,Order fractions with like denominators
Fractions,D-W.9,Order fractions with like numerators
Fractions,D-W.10,Fraction models equivalent to whole numbers
Fractions,D-W.11,Fractions equivalent to whole numbers
Probability and statistics,D-X.1,"More, less, and equally likely"
Probability and statistics,D-X.2,"Certain, probable, unlikely, and impossible"
Probability and statistics,D-X.3,"Median, mode, and range"
Probability and statistics,D-X.4,"Interpret graphs to find median, mode, and range"
Multiplication,D-Y.1,Count equal groups
Multiplication,D-Y.2,Identify multiplication sentences for equal groups
Multiplication,D-Y.3,Write multiplication sentences for equal groups
Multiplication,D-Y.4,Relate addition and multiplication for equal groups
Multiplication,D-Y.5,Write multiplication sentences for arrays
Multiplication,D-Y.6,Write multiplication sentences for number lines
Multiplication,D-Y.7,"Multiplication tables for 2, 3, and 4"
Multiplication,D-Y.8,Multiplication tables up to 5
Multiplication,D-Y.9,"Multiplication tables for 2, 3, 4, 5, and 10"
Multiplication,D-Y.10,"Multiplication tables for 6, 7, 8, and 9"
Multiplication,D-Y.11,Multiplication tables up to 10
Division,D-Z.1,Divisors and quotients up to 5
Division,D-Z.2,Divisors and quotients up to 10
Numbers and comparing,E-A.1,Even or odd
Numbers and comparing,E-A.2,Even or odd: arithmetic rules
Numbers and comparing,E-A.3,Skip-counting
Numbers and comparing,E-A.4,Skip-counting puzzles
Numbers and comparing,E-A.5,Number sequences
Numbers and comparing,E-A.6,Ordinal numbers to 100th
Numbers and comparing,E-A.7,Write numbers in words
Numbers and comparing,E-A.8,"Roman numerals I, V, X, L, C, D, M"
Numbers and comparing,E-A.9,Compare numbers
Numbers and comparing,E-A.10,Which number is greatest/least?
Numbers and comparing,E-A.11,Order numbers
Numbers and comparing,E-A.12,Comparing - with addition and subtraction
Numbers and comparing,E-A.13,Multi-step inequalities
Place values,E-B.1,Place value models up to thousands
Place values,E-B.2,Place value names up to thousands
Place values,E-B.3,Place value names up to hundred thousands
Place values,E-B.4,Value of a digit
Place values,E-B.5,Convert to/from a number
Place values,E-B.6,Convert between place values
Place values,E-B.7,Convert from expanded form
Place values,E-B.8,Convert between standard and expanded form
Place values,E-B.9,Place value word problems
Addition,E-C.1,Add two numbers up to three digits
Addition,E-C.2,Addition input/output tables - up to three digits
Addition,E-C.3,Add two numbers up to three digits - word problems
Addition,E-C.4,Complete the addition sentence - up to three digits
Addition,E-C.5,Balance addition equations - up to three digits
Addition,E-C.6,Add three numbers up to three digits each
Addition,E-C.7,Add three numbers up to three digits each: word problems
Addition,E-C.8,Addition patterns over increasing place values
Addition,E-C.9,Add two numbers with four or more digits
Addition,E-C.10,Addition input/output tables - four or more digits
Addition,E-C.11,Add two numbers with four or more digits - word problems
Addition,E-C.12,Complete the addition sentence - four or more digits
Addition,E-C.13,Balance equations - four or more digits
Addition,E-C.14,Add three or more numbers with four or more digits
Addition,E-C.15,Add three or more numbers with four or more digits - word problems
Addition,E-C.16,Addition: fill in the missing digits
Subtraction,E-D.1,Subtract numbers up to three digits
Subtraction,E-D.2,Subtraction input/output tables - up to three digits
Subtraction,E-D.3,Subtract numbers up to three digits - word problems
Subtraction,E-D.4,Complete the subtraction sentence - up to three digits
Subtraction,E-D.5,Balance subtraction equations - up to three digits
Subtraction,E-D.6,Subtraction patterns over increasing place values
Subtraction,E-D.7,Subtract numbers with four or more digits
Subtraction,E-D.8,Subtraction input/output tables - four or more digits
Subtraction,E-D.9,Subtraction: fill in the missing digits
Understand multiplication,E-E.1,Count equal groups
Understand multiplication,E-E.2,Identify multiplication expressions for equal groups
Understand multiplication,E-E.3,Write multiplication sentences for equal groups
Understand multiplication,E-E.4,Relate addition and multiplication for equal groups
Understand multiplication,E-E.5,Identify multiplication expressions for arrays
Understand multiplication,E-E.6,Write multiplication sentences for arrays
Understand multiplication,E-E.7,Make arrays to model multiplication
Understand multiplication,E-E.8,Write multiplication sentences for number lines
Multiplication skill builders,E-F.1,Multiply by 0
Multiplication skill builders,E-F.2,Multiply by 1
Multiplication skill builders,E-F.3,Multiply by 2
Multiplication skill builders,E-F.4,Multiply by 3
Multiplication skill builders,E-F.5,Multiply by 4
Multiplication skill builders,E-F.6,Multiply by 5
Multiplication skill builders,E-F.7,Multiply by 6
Multiplication skill builders,E-F.8,Multiply by 7
Multiplication skill builders,E-F.9,Multiply by 8
Multiplication skill builders,E-F.10,Multiply by 9
Multiplication skill builders,E-F.11,Multiply by 10
Multiplication skill builders,E-F.12,Multiply by 11
Multiplication skill builders,E-F.13,Multiply by 12
Multiplication fluency,E-G.1,"Multiplication tables for 2, 3, 4, 5, and 10"
Multiplication fluency,E-G.2,"Multiplication facts for 2, 3, 4, 5, and 10: true or false?"
Multiplication fluency,E-G.3,"Multiplication facts for 2, 3, 4, 5, and 10: sorting"
Multiplication fluency,E-G.4,"Multiplication facts for 2, 3, 4, 5, and 10: find the missing factor"
Multiplication fluency,E-G.5,"Multiplication tables for 6, 7, 8, and 9"
Multiplication fluency,E-G.6,"Multiplication facts for 6, 7, 8, and 9: true or false?"
Multiplication fluency,E-G.7,"Multiplication facts for 6, 7, 8, and 9: sorting"
Multiplication fluency,E-G.8,"Multiplication facts for 6, 7, 8, and 9: find the missing factor"
Multiplication fluency,E-G.9,Multiplication tables up to 10
Multiplication fluency,E-G.10,Multiplication facts up to 10: true or false?
Multiplication fluency,E-G.11,Multiplication facts up to 10: sorting
Multiplication fluency,E-G.12,Multiplication facts up to 10: find the missing factor
Multiplication fluency,E-G.13,Multiplication facts up to 10: select the missing factors
